Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_vs3,cp_vs2,cp_vs2_edges,cmp_vd_vs2,cmp_vs3_vs2,cp_rs1,cp_rs2,cp_rs2_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,std_vec,cp_custom_vwholeRegLS_vill,cp_custom_vwholeRegLS_lmul,cp_custom_maskLS,cp_custom_ls_indexed_truncated,cp_custom_ffLS_update_vl,cp_custom_indexed_emul_data_only,cp_custom_ffLS,cp_custom_indexed_overlap,cp_custom_ordered_index_overlap
vluxseg3ei16.v,VLUXSEG,x,x,x,x,x,x,x,lte29,,x,ls,,,nx0,,,x,e16_emul2max,e16_emul2max,x,x,,,,,,,,,
vluxseg3ei32.v,VLUXSEG,x,x,x,x,x,x,x,lte29,,x,ls,,,nx0,,,x,e32_emul2max,e32_emul2max,x,x,,,,,,,,,
vluxseg3ei64.v,VLUXSEG,x,x,x,x,x,x,x,lte29,,x,ls,,,nx0,,,x,e64_emul2max,e64_emul2max,x,x,,,,x,,,,,
vluxseg4ei8.v,VLUXSEG,x,x,x,x,x,x,x,lte28,,x,ls,,,nx0,,,x,e8_emul2max,e8_emul2max,x,x,,,,,,x,,,
vluxseg4ei16.v,VLUXSEG,x,x,x,x,x,x,x,lte28,,x,ls,,,nx0,,,x,e16_emul2max,e16_emul2max,x,x,,,,,,x,,,
vluxseg4ei32.v,VLUXSEG,x,x,x,x,x,x,x,lte28,,x,ls,,,nx0,,,x,e32_emul2max,e32_emul2max,x,x,,,,,,x,,,
vluxseg4ei64.v,VLUXSEG,x,x,x,x,x,x,x,lte28,,x,ls,,,nx0,,,x,e64_emul2max,e64_emul2max,x,x,,,,x,,sew_ge16,,,
vluxseg5ei8.v,VLUXSEG,x,x,x,x,x,x,x,lte27,,x,ls,,,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vluxseg5ei16.v,VLUXSEG,x,x,x,x,x,x,x,lte27,,x,ls,,,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vluxseg5ei32.v,VLUXSEG,x,x,x,x,x,x,x,lte27,,x,ls,,,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vluxseg5ei64.v,VLUXSEG,x,x,x,x,x,x,x,lte27,,x,ls,,,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,,,,
vluxseg6ei8.v,VLUXSEG,x,x,x,x,x,x,x,lte26,,x,ls,,,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vluxseg6ei16.v,VLUXSEG,x,x,x,x,x,x,x,lte26,,x,ls,,,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vluxseg6ei32.v,VLUXSEG,x,x,x,x,x,x,x,lte26,,x,ls,,,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vluxseg6ei64.v,VLUXSEG,x,x,x,x,x,x,x,lte26,,x,ls,,,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,,,,
vluxseg7ei8.v,VLUXSEG,x,x,x,x,x,x,x,lte25,,x,ls,,,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,,,,
vluxseg7ei16.v,VLUXSEG,x,x,x,x,x,x,x,lte25,,x,ls,,,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,,,,
vluxseg7ei32.v,VLUXSEG,x,x,x,x,x,x,x,lte25,,x,ls,,,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,,,,
vluxseg7ei64.v,VLUXSEG,x,x,x,x,x,x,x,lte25,,x,ls,,,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,,,,
vluxseg8ei8.v,VLUXSEG,x,x,x,x,x,x,x,lte24,,x,ls,,,nx0,,,x,e8_emul1max,e8_emul1max,x,x,,,,,,x,,,
vluxseg8ei16.v,VLUXSEG,x,x,x,x,x,x,x,lte24,,x,ls,,,nx0,,,x,e16_emul1max,e16_emul1max,x,x,,,,,,x,,,
vluxseg8ei32.v,VLUXSEG,x,x,x,x,x,x,x,lte24,,x,ls,,,nx0,,,x,e32_emul1max,e32_emul1max,x,x,,,,,,x,,,
vluxseg8ei64.v,VLUXSEG,x,x,x,x,x,x,x,lte24,,x,ls,,,nx0,,,x,e64_emul1max,e64_emul1max,x,x,,,,x,,x,,,
vloxei8.v,VLOX,x,x,x,x,x,x,x,x,,x,ls,eew_eq_sew,,nx0,,,x,e8,e8,x,x,,,,,,,,eew8,x
vloxei16.v,VLOX,x,x,x,x,x,x,x,x,,x,ls,eew_eq_sew,,nx0,,,x,e16,e16,x,x,,,,,,,,eew16,x
vloxei32.v,VLOX,x,x,x,x,x,x,x,x,,x,ls,eew_eq_sew,,nx0,,,x,e32,e32,x,x,,,,,,,,eew32,x
vloxei64.v,VLOX,x,x,x,x,x,x,x,x,,x,ls,eew_eq_sew,,nx0,,,x,e64,e64,x,x,,,,x,,,,eew64,x
vloxseg2ei8.v,VLOXSEG,x,x,x,x,x,x,x,lte30,,x,ls,,,nx0,,,x,e8_emul4max,e8_emul4max,x,x,,,,,,x,,,x
vloxseg2ei16.v,VLOXSEG,x,x,x,x,x,x,x,lte30,,x,ls,,,nx0,,,x,e16_emul4max,e16_emul4max,x,x,,,,,,x,,,x
vloxseg2ei32.v,VLOXSEG,x,x,x,x,x,x,x,lte30,,x,ls,,,nx0,,,x,e32_emul4max,e32_emul4max,x,x,,,,,,sew_ge16,,,x
vloxseg2ei64.v,VLOXSEG,x,x,x,x,x,x,x,lte30,,x,ls,,,nx0,,,x,e64_emul4max,e64_emul4max,x,x,,,,x,,sew_ge32,,,x
vloxseg3ei8.v,VLOXSEG,x,x,x,x,x,x,x,lte29,,x,ls,,,nx0,,,x,e8_emul2max,e8_emul2max,x,x,,,,,,,,,x
vloxseg3ei16.v,VLOXSEG,x,x,x,x,x,x,x,lte29,,x,ls,,,nx0,,,x,e16_emul2max,e16_emul2max,x,x,,,,,,,,,x
vloxseg3ei32.v,VLOXSEG,x,x,x,x,x,x,x,lte29,,x,ls,,,nx0,,,x,e32_emul2max,e32_emul2max,x,x,,,,,,,,,x
